crust_thick_h0,crust_thick_h03,crust_thick_h57,ra_h0,ra_h03,ra_h57,rb_h0,rb_h03,rb_h57,erupt_rate_h0,erupt_rate_h03,erupt_rate_h57,erupt_comp_h0,erupt_comp_h03,erupt_comp_h57,composition
39.8785446905131,39.8785446905131,39.8785446905131,700000,700000,700000,700000,700000,700000,0.676375566778466,0.676375566778466,0.676375566778466,0,0,0,0
6.42971974292783,7.50531254647437,10.001455818725,1757333.02142947,1789741.72802627,1807981.38449494,1465437.42314353,1626794.38836126,1773050.87334258,0.817899108248522,0.938011189678683,1.12609137389756,0.163133079309205,0.297322179016062,0.497793143214551,0.0101010101010101
6.94195213707352,8.83575346037921,14.4165217696415,1728554.23198564,1776382.34447115,1802136.11546457,1442600.19798216,1614880.16487646,1767320.42074098,0.879018333344972,1.05019222677165,1.30450424484835,0.232093123529864,0.418167942145387,0.67966778358687,0.0202020202020202
7.33737684903052,10.1082570473729,19.7176806658862,1707250.9953048,1765413.22608874,1795933.19771776,1425720.82705301,1605099.49549211,1761240.18933069,0.92126091906838,1.13239416202725,1.39878179315541,0.278927584660422,0.504307210738512,0.777156169338747,0.0303030303030303
7.70414180837702,11.5043727624742,25.4721663493838,1688311.19946313,1755049.70147835,1789762.76556876,1410730.50490776,1595862.5825098,1755190.16315959,0.956793798815608,1.20259673357862,1.43053780264006,0.3178614970348,0.576435114292501,0.819636278115542,0.0404040404040404
8.04676794977168,12.8213318669089,31.6354804214162,1671075.55147694,1746579.11869217,1783363.73034146,1397105.67151167,1588314.61110974,1748917.57937981,0.987609670483451,1.25485286173522,1.43991826800245,0.351270479627935,0.629469851398936,0.843787568710183,0.0505050505050505
8.38530082256396,14.252326706386,37.6424946153333,1654593.07446613,1738560.16014404,1777154.38186142,1384091.54075784,1581169.44000896,1742831.59850908,1.01579135820712,1.30014611483649,1.44587892944322,0.381547035498343,0.675187961874341,0.864245946261695,0.0606060606060606
8.69171527060513,15.8457585698877,43.3017124877704,1640128.13862541,1730907.1002631,1771307.71587909,1372682.61555769,1574353.59753942,1737099.62058405,1.03953523247214,1.33937814417104,1.45090156355323,0.406860333054295,0.714864138207176,0.882959946830791,0.0707070707070707
9.00383398530533,17.6762959280558,49.3760802840368,1625663.2027847,1723537.0150395,1765035.001252,1361283.70805362,1567788.31738568,1730951.93757289,1.06239668658879,1.37289355314433,1.45641282688719,0.43107682598477,0.749378307336141,0.902253505073341,0.0808080808080808
9.32865342035235,19.8799646944273,55.14044260626,1611198.26694398,1716371.14880092,1759088.5628918,1349896.72182751,1561408.40178052,1725122.97713516,1.08439350736469,1.40043122146111,1.46110996711511,0.454249306508129,0.779053061102729,0.919773435322278,0.0909090909090909
9.60063566953626,22.6849185512731,60.5309364991355,1599284.38160649,1709331.0687541,1753532.4660544,1340527.84651364,1555139.35009525,1719676.65488797,1.10192079505643,1.42062235202265,1.46548144148962,0.472599906129475,0.803704811528085,0.935491576145776,0.101010101010101
9.89647889059311,26.2618330673864,65.8399253045697,1586648.62812257,1702381.61287492,1748068.94529365,1330604.32478697,1548955.09257999,1714320.64990579,1.11994776464922,1.43245769300041,1.46944610256486,0.491367352610714,0.823159223256575,0.950075055973556,0.111111111111111
10.188316298429,30.3342277587835,71.1384522668113,1574377.4732441,1695531.22558805,1742625.70399552,1320972.72825568,1542856.92252696,1708984.97902107,1.13689388686553,1.43865800705508,1.47333487331065,0.508948839523058,0.839191239472643,0.963638653192958,0.121212121212121
10.4811101606614,34.5156932638028,76.4362485392396,1562418.73105866,1688793.8394269,1737198.63341211,1311597.9260551,1536862.24041022,1703665.66230796,1.15291007549768,1.44298734264773,1.47670253434914,0.525491204557129,0.853791093643356,0.975795695118978,0.131313131313131
10.7750794022012,38.6673151326577,81.8790470699849,1550732.16818384,1682162.69564797,1731638.35353338,1302443.56693509,1530963.27787353,1698216.18560648,1.16808900425218,1.44681886183787,1.48005695860088,0.541121137053344,0.867730343578365,0.986949243784929,0.141414141414141
11.0696813822602,42.758915873775,87.4129878844222,1539284.23818707,1675638.41510893,1726006.627821,1293488.16475658,1525160.42907007,1692696.36672423,1.18255144417704,1.45048977402269,1.48278616225762,0.555937958840215,0.881174454875801,0.996581768881357,0.151515151515152
11.3650608508406,47.1933514838076,89.6528685506052,1528048.19602682,1668581.45585354,1720365.09226996,1284705.53046998,1518883.27767858,1687165.88423668,1.1963281244586,1.45437258882339,1.48353654479968,0.570028173767152,0.89542639572033,1,0.161616161616162
11.6626430708565,51.0282724111676,89.6374537058228,1517002.05961621,1662505.00674856,1713833.57548093,1276079.52126575,1513481.51690794,1680763.61899326,1.20949667415527,1.45767096929973,1.48346830238182,0.583458971435066,0.907407135651319,1,0.171717171717172
11.9633302748911,54.8832551847052,89.6848331167851,1506125.50744902,1656428.55764357,1707223.621588,1267595.25246656,1508079.44561451,1674286.55161267,1.22210613554468,1.4608941257038,1.48364995949536,0.59628994141987,0.919123303451129,1,0.181818181818182
12.2648484153495,58.7671306937455,89.6445680976873,1495405.37676743,1650352.10853859,1700602.62903003,1259242.9549388,1502676.22702869,1667796.07457036,1.23421407391532,1.46402948383496,1.48349433943148,0.608570304245391,0.930550686776612,1,0.191919191919192
12.5720086750139,62.6947487837336,89.6360853895462,1484824.89794248,1644275.65943361,1693981.31221476,1251007.38660036,1497277.35115931,1661306.42049293,1.24583098209026,1.46710830492161,1.48347806974123,0.620344715503229,0.941614589021835,1,0.202020202020202
