Temperature,Porosity,Solid_velocity,Darcy_flux,Plumbing_flux,Solid_composition,Plumbing_composition
1,0.201038903282268,3.69857479526521e-17,-3.69857479526521e-17,0,0,0
1,0.201038903282268,-0.000155236849126912,0.000155236849126912,0,0,0
1,0.202090757490881,-0.000310364009092847,0.000310364009092847,0,0,1.29263383052737e-317
1,0.203133362559445,-0.000465381473997559,0.000465381473997559,0,0,5.70871114881143e-318
1,0.204166900444748,-0.000620289242737749,0.000620289242737749,0,0,1.3778818933234e-317
1,0.205191547452272,-0.000775087318812092,0.000775087318812092,0,0,5.70871114881143e-318
1,0.206207474473322,-0.000929775710132654,0.000929775710132654,0,0,0
1,0.207214847213462,-0.00108435442884859,0.00108435442884859,0,0,-2.35538879735773e-317
1,0.208213826407531,-0.00123882349117673,0.00123882349117673,0,0,0
1,0.209204568024244,-0.00139318291724145,0.00139318291724145,0,0,0
1,0.210187223457204,-0.00154743273092095,0.00154743273092095,0,0,2.33260248977153e-317
1,0.211161939710766,-0.00170157295970328,0.00170157295970328,0,0,-1.78110270073253e-317
1,0.212128859573819,-0.00185560363454575,0.00185560363454575,0,0,0
1,0.213088121781483,-0.00200952478974326,0.00200952478974326,0,0,0
1,0.214039861178733,-0.00216333646280399,0.00216333646280399,0,0,0
1,0.214984208862834,-0.00231703869432513,0.00231703869432513,0,0,0
1,0.215921292330843,-0.00247063152788264,0.00247063152788264,0,0,-2.2621092034229e-317
1,0.216851235611247,-0.00262411500991612,0.00262411500991612,0,0,0
1,0.217774159395562,-0.00277748918963004,0.00277748918963004,0,0,2.3725284286776e-317
1,0.218690181158803,-0.00293075411888572,0.00293075411888572,0,0,-3.27711766623915e-318
1,0.219599415277719,-0.00308390985211294,0.00308390985211294,0,0,8.61524005541799e-318
1,0.22050197314302,-0.00323695644621167,0.00323695644621167,0,0,0
1,0.221397963264112,-0.00338989396046843,0.00338989396046843,0,0,0
1,0.222287491373152,-0.00354272245646849,0.00354272245646849,0,0,0
1,0.223170660519661,-0.0036954419980165,0.0036954419980165,0,0,-1.3778818933234e-317
1,0.224047571166316,-0.00384805265106016,0.00384805265106016,0,0,-1.03202013113386e-317
1,0.224918321274942,-0.00400055448361257,0.00400055448361257,0,0,4.55583860817964e-318
1,0.225783006393835,-0.00415294756568381,0.00415294756568381,0,0,0
1,0.226641719736498,-0.00430523196921014,0.00430523196921014,0,0,2.08383450830271e-317
1,0.227494552262714,-0.00445740776798935,0.00445740776798935,0,0,-5.7504498145721e-318
1,0.228341592750209,-0.00460947503761717,0.00460947503761717,0,0,0
1,0.229182927867356,-0.00476143385542636,0.00476143385542636,0,0,-1.24324307604391e-317
1,0.230018642241827,-0.00491328430042668,0.00491328430042668,0,0,0
1,0.230848818525341,-0.00506502645325252,0.00506502645325252,0,0,0
1,0.231673537457243,-0.00521666039610273,0.00521666039610273,0,0,0
1,0.232492877925854,-0.00536818621269575,0.00536818621269575,0,0,0
1,0.23330691702335,-0.00551960398821097,0.00551960398821097,0,0,1.55116059663284e-317
1,0.23411573010604,-0.00567091380924939,0.00567091380924939,0,0,1.1256791674847e-317
1,0.234919390844074,-0.00582211576377939,0.00582211576377939,0,0,-1.83903090957612e-317
1,0.235717971273608,-0.00597320994109444,0.00597320994109444,0,0,-1.94312461236712e-317
1,0.236511541849315,-0.00612419643177349,0.00612419643177349,0,0,-9.22298032505439e-318
1,0.237300171485617,-0.00627507532763108,0.00627507532763108,0,0,-3.27711766623915e-318
1,0.238083927611191,-0.0064258467216867,0.0064258467216867,0,0,1.1528725406318e-318
1,0.238862876203275,-0.00657651070811598,0.00657651070811598,0,0,-6.89636591091046e-318
1,0.239637081838254,-0.00672706738222248,0.00672706738222248,0,0,-3.35047653333366e-318
1,0.240406607727456,-0.0068775168403935,0.0068775168403935,0,0,0
1,0.241171515758958,-0.00702785918007071,0.00702785918007071,0,0,0
1,0.241931866532529,-0.00717809449971336,0.00717809449971336,0,0,1.1528725406318e-318
