Temperature,Porosity,Solid_velocity,Darcy_flux,Plumbing_flux,Solid_composition,Plumbing_composition
1,0.201038903282268,3.69857479526521e-17,-3.69857479526521e-17,0,0,0
1,0.201038903282268,-0.000155236849126799,0.000155236849126799,0,0,7.17184703371862e-318
1,0.202090757491331,-0.00031036400909363,0.00031036400909363,0,0,0
1,0.203133362559629,-0.000465381473998534,0.000465381473998534,0,0,-7.46047030270616e-318
1,0.204166900444953,-0.000620289242739221,0.000620289242739221,0,0,9.81807251415725e-320
1,0.205191547452538,-0.000775087318813953,0.000775087318813953,0,0,-7.46047030270616e-318
1,0.206207474473342,-0.000929775710134528,0.000929775710134528,0,0,-1.11967132923127e-318
1,0.207214847213728,-0.00108435442885083,0.00108435442885083,0,0,0
1,0.208213826407756,-0.00123882349117913,0.00123882349117913,0,0,0
1,0.209204568024612,-0.00139318291724439,0.00139318291724439,0,0,0
1,0.210187223457327,-0.00154743273092437,0.00154743273092437,0,0,3.72359490907297e-318
1,0.211161939711134,-0.00170157295970719,0.00170157295970719,0,0,0
1,0.212128859573941,-0.00185560363454982,0.00185560363454982,0,0,0
1,0.213088121781626,-0.00200952478974772,0.00200952478974772,0,0,-1.60845640144976e-317
1,0.214039861178958,-0.0021633364628084,0.0021633364628084,0,0,-7.46047030270616e-318
1,0.214984208863038,-0.00231703869433027,0.00231703869433027,0,0,1.74918013122343e-318
1,0.215921292331088,-0.00247063152788789,0.00247063152788789,0,0,1.82562394421057e-317
1,0.216851235611595,-0.00262411500992223,0.00262411500992223,0,0,0
1,0.217774159395788,-0.00277748918963562,0.00277748918963562,0,0,1.99612006980264e-317
1,0.218690181158967,-0.00293075411889242,0.00293075411889242,0,0,0
1,0.219599415278108,-0.00308390985211955,0.00308390985211955,0,0,0
1,0.220501973143225,-0.00323695644621911,0.00323695644621911,0,0,0
1,0.221397963264132,-0.00338989396047593,0.00338989396047593,0,0,-9.56511090348653e-319
1,0.222287491373397,-0.00354272245647596,0.00354272245647596,0,0,-2.3057450812636e-318
1,0.223170660519968,-0.00369544199802454,0.00369544199802454,0,0,-9.94771533962599e-318
1,0.224047571166643,-0.00384805265106862,0.00384805265106862,0,0,0
1,0.224918321275126,-0.00400055448362152,0.00400055448362152,0,0,0
1,0.225783006393917,-0.00415294756569302,0.00415294756569302,0,0,0
1,0.226641719736825,-0.00430523196921965,0.00430523196921965,0,0,2.03950298603267e-319
1,0.227494552262878,-0.00445740776799923,0.00445740776799923,0,0,-7.1676672383548e-318
1,0.228341592750577,-0.00460947503762756,0.00460947503762756,0,0,4.72532288732902e-318
1,0.229182927867725,-0.00476143385543674,0.00476143385543674,0,0,1.53102643343352e-317
1,0.230018642241847,-0.00491328430043752,0.00491328430043752,0,0,0
1,0.230848818525546,-0.00506502645326352,0.00506502645326352,0,0,0
1,0.231673537457632,-0.0052166603961147,0.0052166603961147,0,0,0
1,0.232492877925772,-0.00536818621270705,0.00536818621270705,0,0,-7.46047030270616e-318
1,0.233306917023862,-0.00551960398822371,0.00551960398822371,0,0,0
1,0.234115730106428,-0.005670913809262,0.005670913809262,0,0,0
1,0.234919390844156,-0.005822115763792,0.005822115763792,0,0,1.74918013122343e-318
1,0.235717971273976,-0.00597320994110815,0.00597320994110815,0,0,0
1,0.236511541849192,-0.00612419643178662,0.00612419643178662,0,0,1.08340295830135e-317
1,0.237300171486211,-0.00627507532764534,0.00627507532764534,0,0,-7.46932395907963e-318
1,0.238083927611477,-0.00642584672170068,0.00642584672170068,0,0,-7.46932395907963e-318
1,0.238862876203234,-0.00657651070813075,0.00657651070813075,0,0,0
1,0.239637081838949,-0.00672706738223759,0.00672706738223759,0,0,-3.91165605650598e-318
1,0.240406607727456,-0.00687751684040912,0.00687751684040912,0,0,0
1,0.24117151575906,-0.00702785918008649,0.00702785918008649,0,0,0
1,0.241931866533,-0.00717809449972903,0.00717809449972903,0,0,0
1,0.242687719402005,-0.0073282228987819,0.0073282228987819,0,0,-9.94771533962599e-318
1,0.243439132502006,-0.00747824447764304,0.00747824447764304,0,0,-9.94771533962599e-318
1,0.244186162789557,-0.00762815933763477,0.00762815933763477,0,0,0
1,0.244928866073011,-0.00777796758097424,0.00777796758097424,0,0,-9.94771533962599e-318
1,0.245667297043895,-0.00792766931074034,0.00792766931074034,0,0,1.83956054794846e-317
1,0.246401509306894,-0.00807726463085363,0.00807726463085363,0,0,0
1,0.247131555413945,-0.00822675364604212,0.00822675364604212,0,0,-9.94771533962599e-318
1,0.247857486883772,-0.00837613646182107,0.00837613646182107,0,0,1.83956054794846e-317
1,0.248579354238471,-0.00852541318446396,0.00852541318446396,0,0,0
1,0.249297207023436,-0.00867458392097913,0.00867458392097913,0,0,2.29075710583136e-317
1,0.250011093837991,-0.0088236487790879,0.0088236487790879,0,0,1.39634809090236e-318
1,0.25072106235515,-0.00897260786720048,0.00897260786720048,0,0,0
1,0.251427159350202,-0.00912146129439328,0.00912146129439328,0,0,1.74918013122343e-318
1,0.252129430720948,-0.00927020917038709,0.00927020917038709,0,0,2.40990251852291e-317
1,0.252827921511308,-0.00941885160553024,0.00941885160553024,0,0,2.40990251852291e-317
1,0.25352267593209,-0.00956738871077169,0.00956738871077169,0,0,1.74918013122343e-318
1,0.254213737383883,-0.00971582059764861,0.00971582059764861,0,0,4.38883947922884e-318
1,0.254901148474638,-0.00986414737826104,0.00986414737826104,0,0,2.33129420394134e-317
1,0.255584951041899,-0.0100123691652582,0.0100123691652582,0,0,0
1,0.256265186170343,-0.0101604860718188,0.0101604860718188,0,0,0
